Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(82),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3X(55),CO2X(24),COX(50),O(29),H2OX(23),CHOX(53),acetyl(44),C2H4X(215),C2H4X(70)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,-1.0765830008875277e-118,4.9436445721065405e-54,3.371359657113973e-36,7.725231786727149e-88,2.1730072037284395e-54,2.982260862120738e-131,5.928774356156224e-20,-9.56977021853431e-106,5.928774356156224e-20,3.3419950762356297e-72,1.7638144903519493e-71,1.846623352164033e-111,2.1411555642733614e-112,1.2143652133544025e-37,1.67150331184261e-85,3.2378664363469204e-18,9.586747042136973e-20,3.8378963081055716e-22,1.0226186749666432e-37,3.786581892750577e-37,3.8378963079448603e-22,8.0330422431373e-33,3.668648235908499e-40,7.918494681656984e-44,1.1346505634890568e-74,2.594934121455775e-52,9.125413128690036e-78,3.4066446116223703e-37,-4.138752879811769e-106,3.2520775189884472e-105,7.207692069672048e-28,4.012095562023364e-54,-4.5006034702902354e-107,-3.15544873834416e-123,1.882847889625063e-94,3.448815345229914e-102
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996532,0.022821567693054285,1.9503925481613153e-116,5.869094836022703e-53,2.0363012790773754e-35,8.53661513010353e-86,3.2838484860109904e-53,1.0760886331236055e-128,1.660056819723743e-19,1.8474583997868594e-104,1.6600568197237423e-19,9.424960833467033e-71,5.54571499069147e-70,3.6915007662359367e-109,4.280286717306339e-110,7.334765888660591e-37,8.652302351338717e-84,9.066026021771375e-18,2.684289171798353e-19,1.074610966295608e-21,6.176616794269175e-37,2.2870954632188658e-36,1.0746109661985386e-21,4.851957300755161e-32,4.3554190074953616e-39,9.400858249938797e-43,6.902648537968973e-73,3.0807058529735363e-51,5.551433902900859e-76,2.057613345416306e-36,4.188534918517125e-104,6.501080276661649e-103,2.018153779901628e-27,4.763159849430144e-53,4.554737942113295e-105,5.826381122278219e-121,2.080599253535872e-92,3.247903719778479e-100
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996531,0.022821567693054285,8.233477581388425e-114,5.762312113302618e-52,9.803914575595406e-35,7.7233245279823095e-84,3.532614350655601e-52,3.896278870628738e-126,3.7944155879399835e-19,1.950720965777472e-102,3.7944155879399806e-19,2.0501348481598942e-69,1.237218507640551e-68,6.683117809666038e-107,7.749059854605558e-108,3.531374040434601e-36,3.7780393305977665e-82,2.0722345192620263e-17,6.135518106967663e-19,2.4562536373699013e-21,2.9737751030089695e-36,1.1011380144081422e-35,2.456253636902553e-21,2.3360083631547015e-31,4.276175831431845e-38,9.229863628948128e-42,3.116200557422931e-71,3.0246554103106777e-50,2.5061824098163317e-74,9.906522530543759e-36,8.771478086753432e-102,1.1769599447541015e-100,4.6129229273442896e-27,4.6764985815020416e-52,9.538367198845831e-103,2.428612707436754e-118,1.8823695953281947e-90,2.838763399572895e-98
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999999,0.11866996602996528,0.022821567693054285,2.6483225929135694e-111,5.0966998081749495e-51,4.28162748033286e-34,5.84518473631461e-82,3.2470812041084374e-51,1.1814288719487996e-123,8.063133124372465e-19,1.5418823465704825e-100,8.063133124372452e-19,3.800604494318486e-68,2.317173339175673e-67,1.0126821026259247e-104,1.1742025878361864e-105,1.5422438209600898e-35,1.4065477341278154e-80,4.403498353431798e-17,1.3037975977306284e-18,5.219538979935253e-21,1.298725713287139e-35,4.8089590037547307e-35,5.2195389778942205e-21,1.0201960330238818e-30,3.782228425371904e-37,8.163790355795527e-41,1.1766294581040162e-69,2.675273698373812e-49,9.4628662666524e-73,4.326438656704511e-35,1.4096395235915764e-99,1.7834284917566995e-98,9.802461228524878e-27,4.1363100288795773e-51,1.532884113649074e-100,7.817166357186072e-116,1.4246054420143923e-88,2.117922741910769e-96
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999998,0.11866996602996524,0.022821567693054285,7.575771279759805e-109,4.284083288084812e-50,1.7874955344199057e-33,4.060870224352758e-80,2.7779463329210815e-50,3.2860747752023e-121,1.6600568197237427e-18,1.0928316024517101e-98,1.660056819723737e-18,6.532268067085307e-67,4.002340703033584e-66,1.4079376713152627e-102,1.6325005180584353e-103,6.43856436120503e-35,4.8463107019984014e-79,9.06602602177131e-17,2.684289171798352e-18,1.0746109666733018e-20,5.421924179388651e-35,2.0076457195017025e-34,1.074610965821211e-20,4.259116010621444e-30,3.179189758440374e-36,6.8622931237921665e-40,4.0823534779571944e-68,2.2487291463896083e-48,3.283106753912489e-71,1.8062029730318699e-34,2.0154196223634815e-97,2.4795107478430893e-96,2.018153785606711e-26,3.476817799213421e-50,2.191627489292568e-98,2.237114462723163e-113,9.897076989082977e-87,1.4610928691224675e-94
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999997,0.11866996602996514,0.022821567693054285,2.048600436832815e-106,3.5123503131672864e-49,7.302505326071043e-33,2.7066571223421354e-78,2.296859748273741e-49,8.765017326446575e-119,3.367543834296735e-18,7.354255696769644e-97,3.3675438342967105e-18,1.0826755267311745e-65,6.64994893789087e-65,1.8774212146062025e-100,2.1768656154902307e-101,2.6303636267341588e-34,1.6086726204788887e-77,1.8391081358450232e-16,5.445272319933798e-18,2.179925104699681e-20,2.215032924850541e-34,8.201887842680057e-34,2.17992510121861e-20,1.7399865533034585e-29,2.6064899903379e-35,5.626344589250971e-39,1.3596469702872482e-66,1.8436446818074144e-47,1.0934108592999773e-69,7.378928494132552e-34,2.724443107318048e-95,3.3063154531391634e-94,4.093969121187579e-26,2.8505052735256284e-49,2.9626408185023413e-96,6.050776149014283e-111,6.59635531971035e-85,9.705338115891004e-93
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.02282156769305428,5.389344637977019e-104,2.844392347734241e-48,2.9517916917245664e-32,1.7676870116881987e-76,1.8677682020143862e-48,2.2902711682609063e-116,6.782517863442719e-18,4.825396158091816e-95,6.782517863442621e-18,1.7628564299657042e-64,1.0841095128339643e-63,2.4526289756703123e-98,2.843817702222793e-99,1.0632350338220108e-33,5.243963767689491e-76,3.704119203180764e-16,1.0967238616204684e-17,4.39055338341975e-20,8.953517110557492e-34,3.3153342027926324e-33,4.390553369348693e-20,7.033293269087804e-29,2.1108001720290864e-34,4.55671942800771e-38,4.438458976319846e-65,1.4930323403057705e-46,3.569070161735083e-68,2.9826808760663487e-33,3.583285921372411e-93,4.31931045605259e-92,8.245599832639005e-26,2.3084130444666777e-48,3.8965721921177643e-94,1.5919742736131363e-108,4.307666684063325e-83,6.329303359567368e-91
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,1.3987023002073992e-101,2.2894144184810363e-47,1.1869042918933306e-31,1.1429285760012008e-74,1.5064227194737418e-47,5.923954290277664e-114,1.361246592173468e-17,3.1267848982983907e-93,1.3612465921734287e-17,2.8452573852569736e-63,1.750839758748149e-62,3.1718279791897113e-96,3.677727306037819e-97,4.27522130822263e-33,1.6947541436471837e-74,7.434141337852069e-16,2.2011171208746434e-17,8.811809951529186e-20,3.600169750645067e-33,1.333081301474649e-32,8.811809894950002e-20,2.8280477821474768e-28,1.6989507846445482e-33,3.668223268708057e-37,1.4346561198798563e-63,1.2017240525065843e-45,1.1534585755829918e-66,1.1993228618158924e-32,4.649627638269441e-91,5.585887588308181e-90,1.6548861416700607e-25,1.858011596686769e-47,5.0561441515775586e-92,4.131886029416603e-106,2.7847593066664967e-81,4.0915937232338914e-89
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999984,0.11866996602996381,0.022821567693054264,3.6060807802515844e-99,1.837110889322185e-46,4.760031785482532e-31,7.35382317085121e-73,1.210040651061969e-46,1.5247225533684955e-111,2.7272362038318592e-17,2.013561944927528e-91,2.7272362038317002e-17,4.572252235081979e-62,2.814423776040481e-61,4.081787650099735e-94,4.73282346834979e-95,1.7145549585437378e-32,5.4573433525946924e-73,1.4894185607193983e-15,4.409903639382984e-17,1.76543231304257e-19,1.4438290109171352e-32,5.346252253306292e-32,1.7654322903517188e-19,1.134166824191385e-27,1.3632932581785105e-32,2.9444474482110203e-36,4.6150725276169354e-62,9.643106532732828e-45,3.7093291554418294e-65,4.809821084992612e-32,5.993591872594293e-89,7.188412208278575e-88,3.3155385229458826e-25,1.490937214385851e-46,6.517611339061246e-90,1.0652942618750763e-103,1.791205821295075e-79,2.635253279800988e-87
6.185523972455958e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999968,0.1186699660299623,0.022821567693054243,9.2685177722981e-97,1.4719242815356178e-45,1.9065073240082667e-30,4.7211748013546104e-71,9.699973548129446e-46,3.915606860674958e-109,5.4592154271486353e-17,1.2926682994548095e-89,5.4592154271479975e-17,7.331512225551978e-61,4.513569657734622e-60,5.24112933694637e-92,6.077077508796294e-93,6.867162905351925e-32,1.7565007563644496e-71,2.9814274145875e-15,8.827476676399627e-17,3.533934965893288e-19,5.782846370006291e-32,2.141289491056527e-31,3.5339348750109814e-19,4.542528417385636e-27,1.0922811704758367e-31,2.3606301427038406e-35,1.481393054716704e-60,7.726264458864926e-44,1.1899058183402193e-63,1.9264372224328055e-31,7.702412961075956e-87,9.230122026224098e-86,6.636843543351531e-25,1.1945639580023109e-45,8.375835309944307e-88,2.7380992819626234e-101,1.1492380353151442e-77,1.696379552803182e-85
1.237642198832847e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999938,0.11866996602995926,0.0228215676930542,2.3796823741242536e-94,1.178434420194486e-44,7.631092179152192e-30,3.029069038881075e-69,7.76784586318133e-45,1.0048968959229025e-106,1.0923173873782164e-16,8.285863856554185e-88,1.092317387377961e-16,1.1743161009671408e-59,7.2301157489044735e-59,6.725370081500104e-90,7.798051264337892e-91,2.7486547964427913e-31,5.667005552477984e-70,5.9654451223225824e-15,1.7662622750432773e-16,7.070940339883261e-19,2.3146450842880236e-31,8.570738320612376e-31,7.070939976112817e-19,1.8181514273037417e-26,8.744692049669334e-31,1.8923237775971019e-34,4.752203205493168e-59,6.185780872489943e-43,3.812314221515858e-62,7.710769322652046e-31,9.88789142505192e-85,1.1844009655647038e-83,1.3279454615578851e-24,9.563773110813813e-45,1.0752392143930236e-85,7.030055084525955e-99,7.364186804350383e-76,1.0945667562750117e-83
2.4758218020073495e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999876,0.11866996602995318,0.02282156769305411,6.112159846610483e-92,9.4310568961616e-44,3.053506392261574e-29,1.944592358475356e-67,6.217425038279632e-44,2.58046453866117e-104,2.1851090767049124e-16,5.307048315056197e-86,2.185109076703891e-16,1.879925658626291e-58,1.1574913020396675e-57,8.635024528359054e-88,1.0012291234284859e-88,1.099819947444077e-30,1.840004001583316e-68,1.1933480537788265e-14,3.5332914898498477e-16,1.4144951361040295e-18,9.261591164871217e-31,3.429411714546648e-30,1.4144949905449732e-18,7.274623816931317e-26,6.998093068012813e-30,1.5182502140600973e-33,1.525416818441473e-57,4.95061896837574e-42,1.2206385850479163e-60,3.085312097377393e-30,1.2698430775096986e-82,1.5207090834397865e-81,2.6564680885697574e-24,7.653921891764122e-44,1.380866244939843e-83,1.8056424569348056e-96,4.715824866505199e-74,7.107133345202135e-82
