Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.278467310607421e-119,7.869072428915872e-66,7.640872331074844e-42,1.1381216322636553e-90,7.1201182475241215e-61,5.1768932249216674e-140,7.123714303548978e-25,-1.4033272266329497e-121,7.1237143035489762e-25,2.2449912525587128e-83,2.2716789837219559e-73,2.3889150741920544e-118,1.44349300167068e-119,2.8724117828039262e-54,1.4091476685071537e-98,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675889165398e-23,5.2358675892736368e-23,1.785504785591307e-33,8.7937507543029076e-40,2.3465080376918654e-44,6.0742375806638752e-38,2.1531673116213744e-54,7.0978028877513274e-75,-2.6383228493426691e-107
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,4.127861916572413e-117,1.7603534861144604e-64,4.6287713887575296e-41,1.257681056025635e-88,1.0759922694905816e-59,1.868010105183933e-137,1.9946400049937143e-24,2.7086548941587053e-120,1.9946400049937132e-24,6.3312345303888243e-82,7.1425222005346173e-72,4.7756552771107473e-116,2.8856718455059055e-117,3.4101272685249003e-53,7.2941541662389442e-97,7.9104576379638617e-18,3.8034183292036332e-19,1.466042924838783e-22,1.4660429250544686e-22,1.0784443775968668e-32,1.0439936342779996e-38,2.7858310809006388e-43,3.6688394986975769e-37,2.5562402323337023e-53,4.3180263722261458e-73,2.6701052955188343e-105
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.7426208490564468e-114,3.4782267946445321e-63,2.2424924056468173e-40,1.1379041728382847e-86,1.157503383006577e-58,6.7639084563955647e-135,4.5591771542713512e-24,2.8600787146163756e-118,4.5591771542713431e-24,1.3771818016177276e-80,1.5934574118992737e-70,8.6462076109965494e-114,5.2244386216556265e-115,3.3480831739745001e-52,3.1849131725245272e-95,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552565016476e-22,3.3509552575400807e-22,5.1922402230025537e-32,1.0249981765770292e-37,2.7352656580863084e-42,1.7663882884219483e-36,2.5097318183539749e-52,1.9494479068785692e-71,5.5918508488867817e-103
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,5.605622521722881e-112,6.1893718145773415e-62,9.9160170209059736e-40,8.612573616512106e-85,1.0639450289303001e-57,2.0511072747936271e-132,9.6882514528266316e-24,2.2606540467569951e-116,9.6882514528265978e-24,2.5530629596776693e-79,2.984369380656691e-69,1.3102460170612382e-111,7.9171125693288963e-113,2.9613416514698455e-51,1.1856633184926056e-93,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799189017997e-22,7.1207799234369171e-22,2.2675831277691281e-31,9.0659756394754864e-37,2.4195252935024416e-41,7.7142817270803458e-36,2.2198293714381828e-51,7.3613846397600428e-70,8.987197684732437e-101
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.6037865715011075e-109,1.0439323417251494e-60,4.2420880322036404e-39,5.9843975290753924e-83,9.1022737158619161e-57,5.7059040658558939e-130,1.9946400049937234e-23,1.6022715294395925e-114,1.9946400049937095e-23,4.3880629146881516e-78,5.1547559431582498e-68,1.8219208297660203e-109,1.1008888494096347e-110,2.4891860921540611e-50,4.0847899020146742e-92,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429239999806e-21,1.4660429258933061e-21,9.466674824089253e-31,7.6204699317359279e-36,2.034116456084205e-40,3.2205607649414859e-35,1.8659003413001576e-50,2.5544508172300657e-68,1.2851345335202703e-98
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,4.338208851409499e-107,1.7146654990572274e-59,1.8166688564617021e-38,3.9899529399093802e-81,7.5259359197995164e-56,1.5224121027803788e-127,4.0462697244158587e-23,1.0782552849941613e-112,4.0462697244158011e-23,7.272892467193411e-77,8.5647040898877169e-67,2.4301913864380431e-107,1.4684340590166865e-108,2.0407851484300181e-49,1.3555928371615366e-90,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727867386596e-21,2.9739727944735437e-21,3.8674142079890417e-30,6.2476743333022498e-35,1.6682813706042379e-39,1.3157041566456795e-34,1.529777832507047e-49,8.5103488012713238e-67,1.7377791910992746e-96
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.1419732934601925e-104,2.7795494745894139e-58,8.0194291856497718e-38,2.6073909663024115e-79,6.1199660874530677e-55,3.9804396990112717e-125,8.1495291632601883e-23,7.0748272999910794e-111,8.1495291632599555e-23,1.1842019980509521e-75,1.3962629268070761e-65,3.1766972242720856e-105,1.9195074204175975e-106,1.6526807237912313e-48,4.4170018863598354e-89,3.2319869777965478e-16,1.5539680602174825e-17,5.989832506292332e-21,5.9898325375582263e-21,1.5632453146486422e-29,5.0594520049806794e-34,1.3519727857588199e-38,5.3182865630011588e-34,1.2388537505423731e-48,2.7798526540911014e-65,2.2869971868777742e-94
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.9674146165047582e-102,4.4763809936881816e-57,3.7683219795863441e-37,1.6879195795893935e-77,4.9359743364169468e-54,1.0308241884860786e-122,1.6356048040949091e-22,4.5843827804503042e-109,1.6356048040948157e-22,1.9113067901620939e-74,2.2549683505403524e-64,4.113233722581007e-103,2.4854060979034709e-104,1.3302212259406791e-47,1.4262231367591216e-87,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551921704935e-20,1.2021552047425759e-20,6.2855368585690422e-29,4.0721637482985591e-33,1.0897230405532998e-37,2.1384596353786246e-33,9.9713727564831574e-48,8.9964975731457984e-64,2.9712304387460206e-92
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,7.6692296806718914e-100,7.1855846629376854e-56,1.9473589720721523e-36,1.0886970547245391e-75,3.9648429780748841e-53,2.6596147367887591e-120,3.2769085796327862e-22,2.9522141501309954e-107,3.2769085796324109e-22,3.0714186723371596e-73,3.6247957457709391e-63,5.306170889759868e-101,3.2062339208936235e-102,1.0674187585441941e-46,4.5844667881635509e-86,1.299575183379584e-15,6.248472969405931e-17,2.4084990657751174e-20,2.408499116196425e-20,2.5206179583613653e-28,3.267456947537101e-32,8.7690175049977218e-37,8.5761795798568491e-33,8.0013986518673499e-47,2.9011739601347229e-62,3.8394653638916955e-90
