Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),H2OX(23),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.9037476069710818e-119,8.8826694073770487e-66,8.1191941398536163e-42,1.3651356308906178e-90,7.7979530191564968e-61,6.5975892035919483e-140,7.342956630063947e-25,-1.6832302956602429e-121,7.3429566300639433e-25,2.5343846562175486e-83,1.9233375029138882e-74,2.9536042505591836e-118,1.7847043252024876e-119,2.3593412986319213e-55,1.6397545823606321e-98,2.9121118203838406e-18,1.400169241939002e-19,5.397008777707077e-23,5.3970087780864913e-23,1.8970988059325153e-33,9.6309150802382289e-40,2.5698972646551702e-44,6.453877428911496e-38,8.2593636724860022e-75,-3.2619667672096668e-107,5.6206079642241637e-58,2.3581486926528312e-54,-3.3148657067126976e-109
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.2606752831465828e-117,1.9870359632251326e-64,4.9189805241655978e-41,1.5085437459538272e-88,1.1784266601637479e-59,2.3806499833014968e-137,2.0560278564179053e-24,3.2489318926493566e-120,2.0560278564179042e-24,7.1473702315450593e-82,6.0472808467534472e-73,5.9045231244624586e-116,3.5677860214970548e-117,2.8010099895107439e-54,8.4878419669971251e-97,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624576965173e-22,1.5111624579256834e-22,1.145847117054908e-32,1.1433817243655474e-38,3.0510460851028292e-43,3.8981419667204929e-37,5.0246777348717144e-73,3.3012639687539599e-105,6.6914609734302174e-57,2.7995941276831526e-53,3.3548001884415382e-107
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.2208529871878165e-114,3.9260644408461003e-63,2.3835425294958625e-40,1.3648774356826763e-86,1.267697626121073e-58,8.6201459706585375e-135,4.6994922432409305e-24,3.4305582910549405e-118,4.6994922432409224e-24,1.5547091432188729e-80,1.3491150905558112e-71,1.0690009463796688e-113,6.4593982494351016e-115,2.7500482169876396e-53,3.7061239824051928e-95,1.8637515650456547e-17,8.9610831484096137e-19,3.454085617302282e-22,3.454085618405617e-22,5.5167549017350013e-32,1.1225778684770327e-37,2.995670814257563e-42,1.8767875558143859e-36,2.2684809445684529e-71,6.9136599676376645e-103,6.6092737032256081e-56,2.7486581154298425e-52,7.0257780124550036e-105
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,7.1440076344487756e-112,6.9862351573219415e-62,1.0543678465520344e-39,1.0330517184387441e-84,1.1652325231069233e-57,2.6140050475134922e-132,9.9864210168869896e-24,2.7115706376643485e-116,9.9864210168869529e-24,2.8821687317719861e-79,2.5267432538841428e-70,1.6199679684045132e-111,9.7885958794627469e-113,2.432386503772335e-52,1.3796970346293279e-93,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319355303863e-22,7.3399319403489464e-22,2.4093067767706227e-31,9.9290547523992873e-37,2.6498782645896823e-41,8.1964243294157916e-36,8.566120396812894e-70,1.111163301621657e-100,5.916197183681663e-55,2.4311569746521364e-51,1.1291829158497109e-102
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.0439343635196336e-109,1.1783317502699701e-60,4.5138676348502758e-39,7.1781389277106503e-83,9.9688095525084852e-57,7.271848270075861e-130,2.0560278564179146e-23,1.921865240199724e-114,2.0560278564178999e-23,4.9537116496058178e-78,4.364320610031155e-69,2.252606736027264e-109,1.3611291977856369e-110,2.0445674172752967e-51,4.7532654733365748e-92,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624568052893e-21,1.5111624588169486e-21,1.0058339508486671e-30,8.3459362104388326e-36,2.2277883703189589e-40,3.4218458080372452e-35,2.9725182810204247e-68,1.5889290496147655e-98,5.0913002426747722e-54,2.0435339239066621e-50,1.6146965507726851e-100
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,5.5288581788490762e-107,1.935414307903238e-59,1.9356619106610682e-38,4.7859020962248174e-81,8.242404505514285e-56,1.9402476270471084e-127,4.1707993658763623e-23,1.2933272008777571e-112,4.1707993658763012e-23,8.2104137611975033e-77,7.2513839529368264e-68,3.0046988361829263e-107,1.8155780369818089e-108,1.6762598939029125e-50,1.5774355066275602e-90,1.6540795139779909e-16,7.952961294213526e-18,3.065500981736312e-21,3.0655009899546301e-21,4.1091255528389099e-30,6.8424493188106679e-35,1.8271413359999587e-39,1.3979356625719642e-34,9.9032786238397226e-67,2.1485978366469263e-96,4.3682862537487141e-53,1.6754125735024635e-49,2.1834414617232407e-98
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,1.4554261509934442e-104,3.1373906891607194e-58,8.5647877945544643e-38,3.1276014633130241e-79,6.7025864406203835e-55,5.0730033888352548e-125,8.4003423847933207e-23,8.4859928026971139e-111,8.4003423847930739e-23,1.336853036668071e-75,1.1821585950607864e-66,3.9277647982156495e-105,2.3733371924431582e-106,1.3574787182655484e-49,5.1398439242828828e-89,3.3314559225189871e-16,1.601793612778216e-17,6.174178025304442e-21,6.174178058524472e-21,1.6609464922696263e-29,5.5411063280202636e-34,1.4807448443989335e-38,5.6506794418964915e-34,3.2349137190435157e-65,2.8277136142832144e-94,3.8519760733345986e-52,1.3567925360818269e-48,2.8735704853183416e-96
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,3.7820814988060343e-102,5.0526715196422047e-57,4.0393710807243122e-37,2.0247685691643691e-77,5.4058787550100897e-54,1.3138234370878292e-122,1.6859428422627495e-22,5.4987970199843071e-109,1.68594284226265e-22,2.1576861804541738e-74,1.9091892733897597e-65,5.085941431735098e-103,3.0731610907584214e-104,1.0926169643390598e-48,1.6596244492742985e-87,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532087265038e-20,1.2391532220843546e-20,6.6783695958339193e-29,4.4598251453923803e-33,1.1935682137478155e-37,2.2721133374030713e-33,1.0469668380031639e-63,3.6738768028196169e-92,3.6065378596780652e-51,1.0920646649713067e-47,3.7334560729662827e-94
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,9.7755473767649328e-100,8.110657147258044e-56,2.0975751709496777e-36,1.3060725570184684e-75,4.3422957565942661e-53,3.3900615060452289e-120,3.3777600498296871e-22,3.5410713162165025e-107,3.3777600498292883e-22,3.4673437335512313e-73,3.0689659476440078e-64,6.5615383931512455e-101,3.9647850319602339e-102,8.7675629347870811e-48,5.3347144428133844e-86,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240110483582e-20,2.4826240646211037e-20,2.6781458965031651e-28,3.5785052818262595e-32,9.6054904103380901e-37,9.1121906014903694e-33,3.3765262797167864e-62,4.7478366411476617e-90,3.7062257551979297e-50,8.7631310761779787e-47,4.8248328862317088e-92
