Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),CO2X(24),H2X(49),CHOX(53),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.2607351321986871e-119,9.4126600218333405e-66,8.3583801801826427e-42,1.4891667607686471e-90,8.1444977057563971e-61,7.4086986462244265e-140,7.4501587477855764e-25,-1.8361572819262794e-121,7.4501587477855727e-25,2.6856584808556141e-83,1.5285667725134709e-75,3.2689960795391169e-118,1.9752786586490708e-119,1.8480985336560298e-56,1.7629973987031271e-98,2.9546266505694332e-18,1.4206107501034378e-19,5.475801394831217e-23,5.4758013952217902e-23,1.9528958151610145e-33,1.0058917385168118e-39,2.6841056338337771e-44,6.643697345726708e-38,8.8801347770379361e-75,-3.6102861585485948e-107,5.8706616797546061e-58,-3.6688337679223415e-109,2.462945922869374e-54,2.8936423712058431e-108
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.907425940695881e-117,2.1055758522230691e-64,5.0641149332216278e-41,1.6456048963279574e-88,1.2307964931951733e-59,2.6733285477870913e-137,2.0860444493799623e-24,3.5441169399761296e-120,2.0860444493799605e-24,7.5739866207837232e-82,4.806058516688734e-74,6.535021985389612e-116,3.9487626008352535e-117,2.1940625767712296e-55,9.1257822782457259e-97,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243904894693e-22,1.5332243907253753e-22,1.1795484856654638e-32,1.1941941273292725e-38,3.1866380841933683e-43,4.0127931920551829e-37,5.4023325270167356e-73,3.6537807011208855e-105,6.9894394401897322e-57,3.7130336666946184e-107,2.9240093964418154e-53,5.7846556107699015e-106
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.4938876068494296e-114,4.1602643439002887e-63,2.4540968897614409e-40,1.48888651738499e-86,1.3240347027120928e-58,9.6799182203866769e-135,4.7681015985827748e-24,3.7422447308535839e-118,4.7681015985827667e-24,1.6475075263277969e-80,1.0722052144258832e-72,1.1831521437213042e-113,7.1491525913494057e-115,2.1541436434353167e-54,3.9846736886760799e-95,1.8909610563644341e-17,9.0919088006620029e-19,3.5045128922490769e-22,3.504512893384864e-22,5.679012230120098e-32,1.1724657220393632e-37,3.1288039412833081e-42,1.931987180991701e-36,2.4389815674603821e-71,7.6519217341688219e-103,6.9041918665566163e-56,7.7760121816506411e-105,2.8708097578115525e-52,1.0472998716326357e-103
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,8.0223117743933621e-112,7.4029691375139914e-62,1.0857768326996893e-39,1.1269134740585992e-84,1.2170160024957643e-57,2.9353781065689363e-132,1.0132215896988408e-23,2.957932808125846e-116,1.0132215896988372e-23,3.0542012944548036e-79,2.008121693271746e-71,1.7929554323045377e-111,1.0833866162171267e-112,1.9053156487303008e-53,1.4833941061625988e-93,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898947559451e-22,7.4470898997162294e-22,2.4801685915587361e-31,1.0370306011588292e-36,2.7676474138322879e-41,8.4374955552347779e-36,9.2099680827015374e-70,1.2298183073667656e-100,6.1812492052732777e-55,1.2497621673946981e-102,2.5391987078829293e-51,1.5870841328188408e-101
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.2952272493655445e-109,1.2486190234110404e-60,4.649975256006614e-39,7.8303557745066291e-83,1.0411828120601415e-56,8.1658906328008039e-130,2.0860444493799718e-23,2.0964780218841932e-114,2.0860444493799565e-23,5.2493916701211108e-78,3.4685308055898425e-70,2.4931566631748832e-109,1.5064805918493381e-110,1.6015325915180563e-52,5.1105176072269125e-92,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243895720287e-21,1.533224391642854e-21,1.0354171769045688e-30,8.7168325365586655e-36,2.326804671174497e-40,3.5224882662499718e-35,3.1959473953496801e-68,1.7586065703766526e-98,5.3211583529179728e-54,1.7871258019380155e-100,2.1343494919620178e-50,2.2068866348299778e-99
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,6.2086393713934507e-107,2.0508605270657348e-59,1.9953370159251203e-38,5.2207837003503814e-81,8.6087008241333679e-56,2.1788039473692434e-127,4.2316901687422502e-23,1.4108335979972454e-112,4.2316901687421874e-23,8.7004817103032201e-77,5.7630156936292898e-69,3.3255798943971497e-107,2.0094692166023657e-108,1.3130331542550598e-51,1.6959944644297647e-90,1.678227937523407e-16,8.0690690605875229e-18,3.1102551881451386e-21,3.1102551966051726e-21,4.2299811583320739e-30,7.1465293466285894e-35,1.9083606241308851e-39,1.4390513636091226e-34,1.0647713548988153e-66,2.3780531852725058e-96,4.5683251388401375e-53,2.4166181039517705e-98,1.7498686323276256e-49,2.9437291001726835e-97
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,1.6343897533392712e-104,3.32453322586805e-58,8.8389132114385927e-38,3.4118332976034247e-79,7.0004525226189261e-55,5.6967954243720153e-125,8.522981607466873e-23,9.2569952521372646e-111,8.5229816074666179e-23,1.416647897752685e-75,9.3951697120419273e-68,4.3472678392888285e-105,2.6268203363644947e-106,1.0633282508388577e-50,5.5261510259447621e-89,3.380092888251302e-16,1.625178698118331e-17,6.2643167788123281e-21,6.264316813009426e-21,1.7097970268792769e-29,5.7873530533929624e-34,1.5465826982041728e-38,5.8168754608340931e-34,3.4781203373040454e-65,3.1297261099421888e-94,4.0327400876448161e-52,3.180481321962453e-96,1.417088933177972e-48,3.8481044649361408e-95
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,4.2472249551356788e-102,5.3540579227873937e-57,4.1760594920615782e-37,2.2088222923781484e-77,5.6461185394571114e-54,1.4754055561578067e-122,1.7105564484916381e-22,5.99839513023041e-109,1.710556448491536e-22,2.2864754071631934e-74,1.5173222957729085e-66,5.629259051145358e-103,3.4014587304411568e-104,8.5585901909285424e-50,1.7843606707722534e-87,6.7838227897068914e-16,3.2617222822374839e-17,1.2572439934230585e-20,1.257244007173794e-20,6.8747855282469238e-29,4.6580176189614479e-33,1.2466638596805603e-37,2.3389398499522392e-33,1.1257031710108437e-63,4.0663470422427892e-92,3.7822420807236124e-51,4.1322926184400405e-94,1.1405963709449995e-47,4.9828944693849416e-93
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.0978252965285659e-99,8.5944474864698401e-56,2.1736170407928074e-36,1.4248547388965085e-75,4.5352694136519898e-53,3.8071482150771809e-120,3.4270730239816452e-22,3.8627985100737572e-107,3.4270730239812361e-22,3.6743045608928891e-73,2.4390508821698551e-65,7.2627883059366488e-101,4.3885126687296485e-102,6.8677285894949737e-49,5.7356678761791342e-86,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686141402603e-20,2.5188686692887289e-20,2.7569095155933668e-28,3.7375289187337037e-32,1.0033212207776571e-36,9.3801933963547156e-33,3.6306061530611717e-62,5.2552504977820256e-90,3.8956944909850385e-50,5.3404797099594421e-92,9.1525661672752429e-47,6.4288580967421712e-91
