Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.5769058423850539e-119,1.0990294828232389e-72,7.8800247732167027e-42,1.2481900563440646e-90,7.456467831776703e-61,5.8549772241327226e-140,7.2341660732108032e-25,-1.539039252640163e-121,7.2341660732107995e-25,2.3874955801343119e-83,1.0191236062032136e-76,2.6605702591641148e-118,1.6076396315231661e-119,1.2689503258375788e-57,1.5218309432365896e-98,2.8689670379046562e-18,1.3794248471136902e-19,5.317048671740522e-23,5.3170486721087773e-23,1.8413017960790805e-33,9.2091615389899338e-40,2.4573563725096999e-44,6.2640574053880792e-38,7.6653853804882233e-75,5.3742202700494321e-58,-2.9383376909284165e-107,-2.9859901179809585e-109
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,4.6685374185861355e-117,3.4306754415617042e-71,4.7738659100931463e-41,1.3793125660235521e-88,1.1268214186477978e-59,2.112687951644373e-137,2.0255665004990253e-24,2.9706098682421425e-120,2.0255665004990235e-24,6.7331195347511565e-82,3.2042876445519538e-75,5.3187199530404866e-116,3.213816645429223e-117,1.5064978056302544e-56,7.8774352489071352e-97,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736280276903e-22,1.4887736282501157e-22,1.1121457477024295e-32,1.0933111737368979e-38,2.9174338255633751e-43,3.7834906147018188e-37,4.6633228593536387e-73,6.3978671172156825e-57,2.9737338105457221e-105,3.0219616713345957e-107
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.9708719879590264e-114,7.6380165235076406e-70,2.3130076040123508e-40,1.2479527803357241e-86,1.2121830621912992e-58,7.6498715726621628e-135,4.6298662868549183e-24,3.1366775176708339e-118,4.629866286854911e-24,1.4646005683156109e-80,7.1485892425365724e-74,9.629419382872735e-114,5.8185406584984574e-115,1.4790884340635159e-55,3.4395965204568699e-95,1.8361389042589783e-17,8.8283190215276172e-19,3.402911149496342e-22,3.4029111505672253e-22,5.3544975660656793e-32,1.0734183680529029e-37,2.8644816419948003e-42,1.8215878062579861e-36,2.1053394085955848e-71,6.3187288151832381e-56,6.2277204395567769e-103,6.3287280211775954e-105
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,6.3398506564674641e-112,1.4293846175771973e-68,1.0229760501597361e-39,9.445522590890584e-85,1.1142050745595484e-57,2.3197723994382548e-132,9.8384658595667131e-24,2.479282363247729e-116,9.8384658595666793e-24,2.7151226201796028e-79,1.3388515651978598e-72,1.4592438415292283e-111,8.8174263522055828e-113,1.3082368898867094e-54,1.2804755432215069e-93,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861914791448e-22,7.2311861961559816e-22,2.3384449555397252e-31,9.4942456607286072e-37,2.5338289388862337e-41,7.9553520034779529e-36,7.9500632086741147e-70,5.6551350203953359e-55,1.0009156760601133e-100,1.017151707995557e-102
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.8138488144139754e-109,2.468031407850687e-67,4.377904502443221e-39,6.5631849262436285e-83,9.5322589874252699e-57,6.4533114480861595e-130,2.0255665004990344e-23,1.7572275376112099e-114,2.0255665004990203e-23,4.6666020644614134e-78,2.3125328362846922e-71,2.0291104141922527e-109,1.2260823809683948e-110,1.0996517987238378e-53,4.4114323915582655e-92,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736271626749e-21,1.4887736291151673e-21,9.7625071937727359e-31,7.9804548579227137e-36,2.1302183872281221e-40,3.3212024251084402e-35,2.7587337485214554e-68,4.8650006564665688e-54,1.4312685336785292e-98,1.4544915481705023e-100
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,4.9064077361600671e-107,4.0999792632015126e-66,1.8761052635400804e-38,4.3758689103000273e-81,7.881456056844592e-56,1.7218396423926558e-127,4.1090063295837758e-23,1.1825335746896705e-112,4.1090063295837164e-23,7.7345506801605883e-77,3.8423069181552271e-70,2.7065681722945227e-107,1.6354336980658332e-108,9.0156076233345462e-53,1.4639935700392946e-90,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836416649955e-21,3.0200836496415962e-21,3.9882699029471904e-30,6.5428087210800323e-35,1.7471089784922662e-39,1.3568192033968693e-34,9.1909826157963254e-67,4.1715007212988335e-53,1.9353779425495091e-96,1.966797010466582e-98
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.2915358277538517e-104,6.6834479900396643e-65,8.291621642530032e-38,2.8596134322803257e-79,6.409069157620315e-55,4.5019031555783396e-125,8.2758859877533209e-23,7.7590352985022604e-111,8.2758859877530811e-23,1.2593710701007238e-75,6.2639268418432839e-69,3.5380090607792042e-105,2.1378287455079894e-106,7.3010692286098835e-52,4.7702098911861211e-89,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036645608366e-21,6.082703696803798e-21,1.6120959217063667e-29,5.2984546185273916e-34,1.4158700634879336e-38,5.4844772833641405e-34,3.0022098119726638e-65,3.6743906740227815e-52,2.5470305269581937e-94,2.5884230001606717e-96
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,3.3560110582618505e-102,1.0793336855997063e-63,3.9034547049831682e-37,1.8512377034195319e-77,5.1691464344543067e-54,1.1658936294802859e-122,1.6609645304092659e-22,5.0277393785736806e-109,1.6609645304091695e-22,2.0326299747868064e-74,1.0116248300401007e-67,4.5811628794540859e-103,2.7681505382579921e-104,5.8765299466485248e-51,1.5402718605408992e-87,6.5871483190285983e-16,3.167159448973023e-17,1.2207943685917316e-20,1.220794381556698e-20,6.4819533740590463e-29,4.2645260123908721e-33,1.1412507357859067e-37,2.2052818831784602e-33,9.7163257723250212e-64,3.4342676567583852e-51,3.309020713316827e-92,3.3629102790852057e-94
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,8.6733345603280101e-100,1.7349588234156646e-62,2.0221527080083092e-36,1.1940868938962296e-75,4.1521394852024003e-53,3.0082327735717785e-120,3.3277163936772333e-22,3.2377233850833417e-107,3.3277163936768468e-22,3.2663817706982428e-73,1.6261540633828051e-66,5.910060878751576e-101,3.5711321807260154e-102,4.7155359677317887e-50,4.9510662156412227e-86,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423630889465e-20,2.4458424150859717e-20,2.5993820452569021e-28,3.4218029818437576e-32,9.1840611089569072e-37,8.8441481528656718e-33,3.1334369766228944e-62,3.5209175812056519e-50,4.2758561492462147e-90,4.3457853257899794e-92
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,2.2400390259727376e-97,2.7823624323970603e-61,1.1756792370681103e-35,7.7040964981854505e-74,3.328453663121547e-52,7.7634750140947582e-118,6.6612201202135653e-22,2.07855651680717e-105,6.6612201202120174e-22,5.2375757491974122e-72,2.6078978828800315e-65,7.6261784229132453e-99,4.6080897775041902e-100,3.7781523006208801e-49,1.58790127618119e-84,2.6417448485018057e-15,1.2701743992222695e-16,4.8959383129870516e-20,4.8959385212600751e-20,1.0409715590626205e-27,2.7412689876656758e-31,7.4004695868247708e-36,3.5422574969838252e-32,1.0108309126869146e-60,4.0468769867479072e-49,5.5215554343111063e-88,5.6126167647429183e-90
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,5.8064717493834863e-95,4.4569022212092077e-60,7.6327156020627906e-35,4.991573120912592e-72,2.6654623194229174e-51,2.0119206421685561e-115,1.332822757328782e-21,1.3323321743046944e-103,1.3328227573281629e-21,8.3892232694393752e-71,4.1774585773752821e-64,9.8818560944813766e-97,5.9710745432912175e-98,3.0247954531206986e-48,5.0869870472107188e-83,5.2857848706323213e-15,2.5414523383221969e-16,9.7961300563979756e-20,9.7961308901425241e-20,4.1655020601200138e-27,2.1941419916257428e-30,5.9921740366595957e-35,1.4178142522631138e-31,3.2748618992913523e-59,5.2021263148541129e-48,7.1563954685521561e-86,7.2763871077676651e-88
2.6220259868672867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,1.5195790475643443e-92,7.1350575123468365e-59,5.3946648235543686e-34,3.2667044572936376e-70,2.1334500117635318e-50,5.2661510622511386e-113,2.6662242479442699e-21,8.533510572605777e-102,2.6662242479417918e-21,1.3430042266033101e-69,6.6877122369167785e-63,1.2933240959544085e-94,7.8148623509070038e-96,2.4207177809062836e-47,1.62874879441415e-81,1.0573864914888509e-14,5.084008216521951e-16,1.9596512917678706e-19,1.9596516254619952e-19,1.6658661458213061e-26,1.7551167140665232e-29,4.9032020705317339e-34,5.6730086850964643e-31,1.0717743320096936e-57,7.3016976743076307e-47,9.3646451862082964e-84,9.5268143843486591e-86
5.2446211133019425e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,4.0544948338343445e-90,1.1419027150390149e-57,4.0282320851528873e-33,2.180969025796622e-68,1.7071919741513136e-49,1.4060314284881638e-110,5.333027229177793e-21,5.4635541817673151e-100,5.3330272291678782e-21,2.1493894837623619e-68,1.0703102285873667e-61,1.7266773886226979e-92,1.0433383180544534e-93,1.9368814017480516e-46,5.2134566997964094e-80,2.115002500338152e-14,1.0169119972921062e-15,3.919727613807601e-19,3.9197289495021176e-19,6.6575404420171239e-26,1.402979783735781e-28,4.0953202759786335e-33,2.2694967793310226e-30,3.5788718454077408e-56,1.0857729691069178e-45,1.2494149698041794e-81,1.2724258231986016e-83
