Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.2782342973587266e-119,7.7505406257353962e-74,7.640872331074844e-42,1.1381216304137592e-90,7.1201182475241215e-61,5.1768932165071749e-140,7.123714303548978e-25,-1.4033272266329497e-121,7.1237143035489762e-25,2.2449912525587128e-83,7.1870309533157297e-78,2.388915070309126e-118,1.4434929993244349e-119,9.0876011581967136e-59,1.4091476685071537e-98,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675889165398e-23,5.2358675892736368e-23,1.785504785591307e-33,8.7937507543029076e-40,2.3465080376918654e-44,6.0742363111390422e-38,7.0978028762145974e-75,5.1315532778841466e-58,-2.638053034552977e-107
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,4.127104444888783e-117,2.4193695512252944e-72,4.6287713887575286e-41,1.2576810523275261e-88,1.0759922694905816e-59,1.8680100997102622e-137,1.9946400049937143e-24,2.7086548941587053e-120,1.9946400049937132e-24,6.3312345303888243e-82,2.259717099456095e-76,4.7756552630997349e-116,2.8856718370398032e-117,1.0788798101162441e-57,7.2941541662389442e-97,7.9104576379638617e-18,3.8034183292036332e-19,1.466042924838783e-22,1.4660429250544686e-22,1.0784443775968668e-32,1.0439936342779996e-38,2.7858310809006388e-43,3.6688379915179742e-37,4.3180263594774842e-73,6.1087227884195165e-57,2.6696165160458234e-105
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.7419786935650735e-114,5.3864546108522998e-71,2.2424924056468169e-40,1.1379041661429477e-86,1.157503383006577e-58,6.7639084167623526e-135,4.5591771542713512e-24,2.8600787146163756e-118,4.5591771542713431e-24,1.3771818016177276e-80,5.0413024560917379e-75,8.6462075602638407e-114,5.2244385910005767e-115,1.0592501729065521e-56,3.1849131725245272e-95,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552565016476e-22,3.3509552575400807e-22,5.1922402230025537e-32,1.0249981765770292e-37,2.7352656580863084e-42,1.766386808664667e-36,1.9494478953440428e-71,6.0326209382060798e-56,5.5897877965262558e-103
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,5.6014911525928688e-112,1.008024718450265e-69,9.9160170209059671e-40,8.6125735150509932e-85,1.0639450289303001e-57,2.0511072507502111e-132,9.6882514528266316e-24,2.2606540467569951e-116,9.6882514528265978e-24,2.5530629596776693e-79,9.4417937168989664e-74,1.3102460016769049e-111,7.9171124763696368e-113,9.3689403101145613e-56,1.1856633184926056e-93,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799189017997e-22,7.1207799234369171e-22,2.2675831277691281e-31,9.0659756394754864e-37,2.4195252935024416e-41,7.7142686388052727e-36,7.3613845524574777e-70,5.3981190890059164e-55,8.9805637518462971e-101
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.6014238576043378e-109,1.7404922464189923e-68,4.2420880322036351e-39,5.9843973879918787e-83,9.1022737158619161e-57,5.7059039320648867e-130,1.9946400049937234e-23,1.6022715294395925e-114,1.9946400049937095e-23,4.3880629146881516e-78,1.6308323494950218e-72,1.8219207869688782e-109,1.1008888235496216e-110,7.875146212791745e-55,4.0847899020146742e-92,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429239999806e-21,1.4660429258933061e-21,9.466674824089253e-31,7.6204699317359279e-36,2.034116456084205e-40,3.2205497634753177e-35,2.554450756568378e-68,4.6423069797580643e-54,1.2832379423624525e-98
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,4.3254441660410687e-107,2.8913571248460677e-67,1.8166688564616979e-38,3.9899527517234112e-81,7.5259359197995164e-56,1.5224120313804027e-127,4.0462697244158587e-23,1.0782552849941613e-112,4.0462697244158011e-23,7.272892467193411e-77,2.7096433190784501e-71,2.4301912722495018e-107,1.4684339900186872e-108,6.4564999350084589e-54,1.3555928371615366e-90,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727867386596e-21,2.9739727944735437e-21,3.8674142079890417e-30,6.2476743333022498e-35,1.6682813706042379e-39,1.3156951370079896e-34,8.5103483968241324e-67,3.9780073911682533e-53,1.7326565002253995e-96
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.1352723960161056e-104,4.7132229185675421e-66,8.0194291856497363e-38,2.6073907203095165e-79,6.1199660874530677e-55,3.9804393256376797e-125,8.1495291632601883e-23,7.0748272999910794e-111,8.1495291632599555e-23,1.1842019980509521e-75,4.417373075961753e-70,3.1766969257191646e-105,1.919507240018111e-106,5.2286074731748704e-53,4.4170018863598354e-89,3.2319869777965478e-16,1.5539680602174825e-17,5.989832506292332e-21,5.9898325375582263e-21,1.5632453146486422e-29,5.0594520049806794e-34,1.3519727857588199e-38,5.318213520105645e-34,2.7798523897892621e-65,3.5000153518693397e-52,2.2735519784699181e-94
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.932792190763494e-102,7.6114570757893361e-65,3.7683219795863107e-37,1.6879192610742486e-77,4.9359743364169468e-54,1.0308239950955933e-122,1.6356048040949091e-22,4.5843827804503042e-109,1.6356048040948157e-22,1.9113067901620939e-74,7.1339743147911088e-69,4.1132329494112883e-103,2.485405630718559e-104,4.2083841331618993e-52,1.4262231367591216e-87,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551921704935e-20,1.2021552047425759e-20,6.2855368585690422e-29,4.0721637482985591e-33,1.0897230405532998e-37,2.1384008448566965e-33,8.9964958621626214e-64,3.2654567976499244e-51,2.9364969191814887e-92
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,7.492327777685546e-100,1.2234622377118781e-63,1.9473589720721189e-36,1.088696643832384e-75,3.9648429780748841e-53,2.6596137388536674e-120,3.2769085796327862e-22,2.9522141501309954e-107,3.2769085796324109e-22,3.0714186723371596e-73,1.1467349939617772e-67,5.3061688949161179e-101,3.2062327155167466e-102,3.3768765081050209e-51,4.5844667881635509e-86,1.299575183379584e-15,6.248472969405931e-17,2.4084990657751174e-20,2.408499116196425e-20,2.5206179583613653e-28,3.267456947537101e-32,8.7690175049977218e-37,8.5757078350592345e-33,2.9011728565620091e-62,3.3397902983431316e-50,3.7507325298653911e-90
