Time (s),Volume (m^3),n-heptane,Ar,He,Ne,N2,X(1),C2H4(2),C4H8-1(3),C4H8-2(4),C2H5X(5),H(6),C6H12-1(7),C6H12-2(8),C6H12-3(9),C6H12(10),C6H12(11),HX(80),C2H3X(137),C2H2X(348),C4H7X(141),C4H6(54),C4H7X(140),C4H9X(153),C4H9X(171),C4H7X(142),SX(176),SX(174),C6H10(456),C6H10(549),C6H9X(432),C6H8(857),C6H9X(431)
0.0,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3729824404203757e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,2.1411241844109555e-81,1.1984790886586536e-104,3.1054601270304156e-42,1.2033729945465777e-68,7.0664371936479634e-114,0.0,0.0,1.9003201429467673e-124,0.0,1.9999999999721146e-18,1.9999999999721146e-18,9.0511714659365467e-36,3.1054601270304156e-42,1.3722968194385037e-60,9.8829880991880375e-61,4.8219413003551137e-66,1.5345612739186243e-84,1.4946611123456101e-84,1.534561273918624e-84,4.8836726885027096e-103,1.0128778265549126e-104,1.0128520799465522e-124,4.5806787128815485e-102,1.7242813406254819e-121,4.5806787128815485e-102
9.444350833177053e-25,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,6.7319643125564566e-80,4.9455575167644146e-103,1.8756979167263709e-41,7.2683728870613293e-68,3.4168445474200783e-112,0.0,0.0,2.1614771210529161e-122,0.0,5.5999999999219207e-18,5.5999999999219207e-18,5.4669075654256734e-35,1.8756979167263709e-41,1.6291907840424793e-59,1.1733083471356035e-59,5.7246087117815897e-65,3.4327521873050046e-83,3.3434971218726401e-83,3.4327521873050053e-83,2.0152612091941705e-101,4.1796687118602136e-103,7.6244976499584874e-123,2.7866505078728749e-100,1.9053789597164906e-119,2.7866505078728749e-100
2.158708761869041e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771428,0.67000000000000004,1.5018596176723657e-78,1.9564133718853366e-101,9.030678049404449e-41,3.4994086681414456e-67,1.7658825175741412e-110,0.0,0.0,1.9567770237555577e-120,0.0,1.2799999999821535e-17,1.2799999999821535e-17,2.6320806622943484e-34,9.030678049404449e-41,1.5995491727447447e-58,1.1519610928413572e-58,5.6204547796939189e-64,6.7825398538968722e-82,6.6061868853674413e-82,6.7825398538968733e-82,7.9721729332727549e-100,1.6534353771474937e-101,6.0284610294317244e-121,1.2580272447413121e-98,1.7238436131709113e-117,1.2580272447413121e-98
4.587256118971711e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771422,0.67000000000000004,2.8128135283648738e-77,6.9823003589785078e-100,3.9439343613286282e-40,1.5282837030741509e-66,7.0285926378123972e-109,0.0,0.0,1.4830628492971673e-118,0.0,2.7199999999620755e-17,2.7199999999620755e-17,1.1494987761739411e-33,3.9439343613286282e-40,1.4147831289755954e-57,1.0188965410738898e-57,4.9712286030141074e-63,1.2069167280295528e-80,1.1755356595300421e-80,1.206916728029553e-80,2.8452118930360435e-98,5.9009934164785486e-100,4.3088918709424523e-119,4.7500715076709027e-97,1.3046308358392565e-115,4.7500715076709027e-97
9.444350833177053e-24,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771417,0.67000000000000004,4.8584333044619681e-76,2.3591614834267954e-98,1.6465149593515261e-39,6.3802836170859283e-66,2.495307336697993e-107,0.0,0.0,1.0312299531048599e-116,0.0,5.5999999999219198e-17,5.5999999999219186e-17,4.7989311112395536e-33,1.6465149593515258e-39,1.1892104669827625e-56,8.5644393589467632e-57,4.1786171798269351e-62,2.0356414684793505e-79,1.9827127097015474e-79,2.0356414684793505e-79,9.613327936554805e-97,1.9938123063140036e-98,2.9141056588127876e-117,1.6480204690543152e-95,9.0635876607476e-114,1.6480204690543152e-95
1.9158540261587735e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771406,0.66999999999999993,8.0723575710184358e-75,7.7564068035133379e-97,6.7265508535529562e-39,2.6065540411076463e-65,8.400594843139598e-106,0.0,0.0,6.8762752772481123e-115,0.0,1.13599999998416e-16,1.1359999999841595e-16,1.9605199442077164e-32,6.7265508535529536e-39,9.7498658990272401e-56,7.0216448280958625e-56,3.4258828254383931e-61,3.343547224625945e-78,3.256611579398355e-78,3.343547224625943e-78,3.160651898368119e-95,6.5552186428372697e-97,1.9169960366204342e-115,5.4885962382512134e-94,6.0408427909894439e-112,5.4885962382512134e-94
3.85869191184091e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771383,0.66999999999999982,1.3159978584807337e-73,2.5157719544299224e-95,2.7189794033012212e-38,1.0536108186292483e-64,2.7564829274178459e-104,0.0,0.0,4.4915198134124937e-113,0.0,2.2879999999680944e-16,2.2879999999680929e-16,7.9247350746577812e-32,2.7189794033012192e-38,7.8956941873765684e-55,5.6863100302278755e-55,2.7743687340503856e-60,5.4200341343495722e-77,5.2791077071245841e-77,5.4200341343495668e-77,1.0251498670787235e-93,2.1261694537909537e-95,1.2438124354475384e-113,1.7915692265283465e-92,3.9449017068979294e-110,1.7915692265283465e-92
7.744367683205182e-23,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771339,0.6699999999999996,2.1253399278735763e-72,8.104894465997956e-94,1.0932896595615619e-37,4.2365227622208554e-64,8.9314717591930485e-103,0.0,0.0,2.903962595819513e-111,0.0,4.5919999999359558e-16,4.5919999999359499e-16,3.1865011192688011e-31,1.0932896595615605e-37,6.3551415918706531e-54,4.5768370101195861e-54,2.2330533217886423e-59,8.7287978830269533e-76,8.5018402165014771e-76,8.7287978830269434e-76,3.3026568524521348e-92,6.8497381129718452e-94,8.0150789688573759e-112,5.7900421614919404e-91,2.5502512264768696e-108,5.7900421614919404e-91
1.5515719225933728e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771245,0.66999999999999915,3.4164217582165978e-71,2.6023116379917543e-92,4.3845805205934459e-37,1.6990351107622215e-63,2.8759047576559315e-101,0.0,0.0,1.8679995197862452e-109,0.0,9.19999999987165e-16,9.1999999998716243e-16,1.2779294685726818e-30,4.3845805205934351e-37,5.0996008946387356e-53,3.6726234614940993e-53,1.7918846579494026e-58,1.4011653739384731e-74,1.3647336421072371e-74,1.4011653739384699e-74,1.0604138523315308e-90,2.1993072560492053e-92,5.1472259030294158e-110,1.8619907872604332e-89,1.6403752375942807e-106,1.8619907872604332e-89
3.1058422311390823e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583771061,0.66999999999999826,5.4790104800741788e-70,8.3414199192446058e-91,1.7561191932933137e-36,6.8050025631294244e-63,9.2315237199836279e-100,0.0,0.0,1.1985574151996587e-107,0.0,1.841599999974292e-15,1.8415999999742817e-15,5.1183835190050226e-30,1.7561191932933047e-36,4.0858863883800347e-52,2.9425679618849504e-52,1.4356882596752866e-57,2.2455180680573908e-73,2.1871323031802941e-73,2.2455180680573807e-73,3.3990384169773086e-89,7.0496342891143572e-91,3.2998611656984936e-108,5.9730975079200925e-88,1.0524767896078608e-104,5.9730975079200925e-88
6.2143828482305e-22,0.0010048633302857143,0.33000000000000002,0.0,0.0,0.0,0.0,0.27332282583770695,0.66999999999999638,8.7766186673516909e-69,2.6715004043084077e-89,7.0290533518715443e-36,2.7237744601008935e-62,2.9586757182740091e-98,0.0,0.0,7.6805032556730227e-106,0.0,3.6847999999485002e-15,3.6847999999484592e-15,2.0486872968432247e-29,7.0290533518714721e-36,3.271193504548164e-51,2.3558435768024192e-51,1.1494235676650501e-56,3.595754604396471e-72,3.5022613095218853e-72,3.5957546043964363e-72,1.08860752643142e-87,2.257781173460075e-89,2.1137168494461407e-106,1.9137509908154488e-86,6.7443015331148786e-103,1.9137509908154488e-86
