Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CO2X(24),CHOX(53),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-2.0850503804467431e-117,8.8824775391285767e-66,9.9388126153583503e-42,5.673998855343823e-90,4.5713111552163346e-62,2.7421973862815318e-139,7.3429566300639442e-25,-9.8688422849716644e-123,7.3429566300639433e-25,1.4857053924427984e-84,3.4704358882423427e-76,1.227625062124862e-117,7.417878538354164e-119,1.7694627785740409e-56,9.6125590853753117e-100,2.9121118203838406e-18,1.400169241939002e-19,5.3970087771082673e-23,5.3970087786853011e-23,7.8851759824771269e-33,1.6638383456916885e-38,1.8453275915476567e-42,6.4538774216772647e-38,5.9306774177706267e-73,6.8802603286219603e-58,-2.3422714262930369e-105,-5.7691485538899271e-108,2.3581486900095524e-54
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,3.7773870417148269e-115,1.9869760695914705e-64,7.079227503733011e-41,6.2699468271345247e-88,6.9081654155617777e-61,9.8946754760999959e-137,2.0560278564179046e-24,1.9045726258037646e-121,2.0560278564179042e-24,4.1899269182637828e-83,1.0911605696777783e-74,2.4540918567497191e-115,1.4828758288210806e-116,2.1007062084759711e-55,4.9757374227922618e-98,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624573348367e-22,1.5111624582873663e-22,4.7626365881997534e-32,1.9753051966870449e-37,2.1907801307480323e-41,3.8981419581320145e-37,3.607932178281655e-71,9.5092478493116643e-57,2.3704471914745441e-103,5.8385474272797497e-106,2.7995941217702435e-53
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.5946069328749664e-112,3.9259310872358816e-63,4.504477193483226e-40,5.6726158653218511e-86,7.4314891116540917e-60,3.5826507691361004e-134,4.6994922432409253e-24,2.0110595982778853e-119,4.6994922432409224e-24,9.1140062360424087e-82,2.4343191997821917e-73,4.4429139382002269e-113,2.6846141354679266e-114,2.062485807739796e-54,2.1726016879030872e-96,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856155609437e-22,3.4540856201469727e-22,2.292994617938687e-31,1.9393585450968561e-36,2.1509362042144358e-40,1.8767875473821663e-36,1.628804449314831e-69,1.2176723777801493e-55,4.9641147819778982e-101,1.2226901182245658e-103,2.7486581037469321e-52
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,5.1291218657266017e-110,6.9859855706866752e-62,2.9302951850389301e-39,4.2931811193619328e-84,6.8308188176204895e-59,1.0863352971824973e-131,9.9864210168869661e-24,1.5895752439479304e-117,9.9864210168869529e-24,1.6895831535076273e-80,4.5592104252218741e-72,6.7323050954615268e-111,4.0679701822494207e-112,1.8242453315698686e-53,8.0880513379271159e-95,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319279255077e-22,7.3399319479539867e-22,1.0014023068719786e-30,1.7153267767156569e-35,1.9025058967770855e-39,8.1964242548337677e-36,6.1501421776554535e-68,1.5823098634399832e-54,7.9777219439482093e-99,1.9649594900693312e-101,2.4311569538630216e-51
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.4672447748577184e-107,1.178288646076144e-60,2.0281908972546327e-38,2.9826605968957749e-82,5.8439092968301401e-58,3.0216036051829628e-129,2.0560278564179055e-23,1.1266346384461965e-115,2.0560278564178999e-23,2.9039617432598609e-79,7.874902128839414e-71,9.3600426162319749e-109,5.6557707538097767e-110,1.5333881059669372e-52,2.7864563113990468e-93,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624536304027e-21,1.511162461991971e-21,4.1805849219799921e-30,1.4418121392438125e-34,1.5992165685477415e-38,3.4218457453465594e-35,2.1338300729615384e-66,2.1800472685698631e-53,1.1406171618118158e-96,2.8094081944760371e-99,2.0435338888427817e-50
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,3.9677120522168172e-105,1.9353426698267113e-59,1.4862831338567205e-37,1.9880416655425242e-80,4.8318571917829556e-57,8.0597264325306953e-127,4.1707993658763259e-23,7.5817345952611237e-114,4.1707993658763012e-23,4.8131035989130363e-78,1.3084267383150322e-69,1.2481408615876386e-106,7.5418444872566629e-108,1.2571641893192238e-51,9.2472325216564595e-92,1.6540795139779909e-16,7.952961294213526e-18,3.0655009687658641e-21,3.0655010029261915e-21,1.7078460371635488e-29,1.1820463748630826e-33,1.3112093494371796e-37,1.3979356111743533e-34,7.1069450416090331e-65,3.1812282026122177e-52,1.5419111357406976e-94,3.7978233664999782e-97,1.675412515909935e-49
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,1.0438381685112541e-102,3.137273806658729e-58,1.1324549825755096e-36,1.2984123246691724e-78,3.9291859823063128e-56,2.10605335299296e-124,8.4003423847931738e-23,4.9746533345112071e-112,8.4003423847930739e-23,7.8368914167902318e-77,2.1330657210253451e-68,1.6306047218904227e-104,9.8528680596597326e-106,1.0180841168579419e-50,3.0130760553710342e-90,3.3314559225189871e-16,1.601793612778216e-17,6.1741779728758171e-21,6.1741781109621165e-21,6.9029072692239438e-29,9.5718972811272036e-33,1.0619727691853446e-36,5.6506790256653293e-34,2.3200863357102377e-63,4.8337055018672525e-51,2.0280442355416753e-92,4.9952104404790071e-95,1.3567924427218606e-48
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,2.7092628393850733e-100,5.0524824259600393e-57,8.8284474204023978e-36,8.3956893713117539e-77,3.1690307737792149e-55,5.4478359115683599e-122,1.6859428422626902e-22,3.2235012634076641e-110,1.68594284226265e-22,1.2648774089710397e-75,3.4449065390799496e-67,2.1089018201614182e-102,1.2742960383803081e-103,8.1944260765681107e-50,9.7290398079107373e-89,6.6862087396007854e-16,3.2147885794919389e-17,1.2391531876451847e-20,1.2391532431729321e-20,2.7752431354902341e-28,7.7032966176983033e-32,8.5496353360195594e-36,2.2721130023840477e-33,7.4998055190437111e-62,7.5239301998714261e-50,2.6317390546968096e-90,6.4821800128816594e-93,1.0920645146179703e-47
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,6.985837299588993e-98,8.1103521112557288e-56,6.9681254231000812e-35,5.4026940319972366e-75,2.5455377515781989e-54,1.402370450774579e-119,3.3777600498294496e-22,2.0758444942708123e-108,3.3777600498292883e-22,2.0326239583674877e-74,5.5375856908880333e-66,2.7142936395511943e-100,1.6401017794068198e-101,6.5755098820373483e-49,3.1273127878704138e-87,1.3395714373763602e-15,6.4407785129193661e-17,2.4826239265028404e-20,2.4826241492248433e-20,1.112687523234036e-27,6.1798076501458208e-31,6.8636796205564753e-35,9.1121879131741229e-33,2.4129099321694851e-60,1.1866352327128302e-48,3.3928846447566098e-88,8.3570143696933541e-91,8.7631286626743234e-47
