Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.0911082097738084e-76,8.9859171441067476e-42,4.2969299412850834e-90,3.9798339146002121e-62,1.8934355108192312e-139,7.0115228147943994e-25,-7.4803327107750114e-123,7.0115228147944003e-25,1.2350889983939004e-84,9.1271743259249573e-81,8.8772032489672835e-118,5.3640168722307212e-119,4.8736295148329436e-61,7.6303764423257849e-100,2.780669898587693e-18,1.3369707978709934e-19,5.1534078272583038e-23,5.1534078286961879e-23,7.1894258453464613e-33,1.4485561543952162e-38,1.6065622856378888e-42,5.8842024498014382e-38,4.7036169104431628e-73,5.9398320664921838e-58
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2770162938760629e-74,6.3644324615040567e-41,4.7448910937879761e-88,6.0143250099622643e-61,6.8273018223361591e-137,1.9632263881424322e-24,1.443595561096223e-121,1.9632263881424319e-24,3.4831485887153398e-83,2.8696315305958547e-79,1.7733568148973663e-115,1.0715442250013738e-116,5.7857861709852168e-60,3.9497026002826605e-98,7.785875716045541e-18,3.7435182340387818e-19,1.442954191399389e-22,1.4429541922678722e-22,4.3424047611185333e-32,1.7197228011747608e-37,1.9073167426685239e-41,3.5539327795080119e-37,2.8594108876448781e-71,8.1665644962936386e-57
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8429288382193896e-73,4.0185070274447827e-40,4.2860791178714848e-86,6.4699363923919879e-60,2.4681397663235914e-134,4.4873746014684181e-24,1.5243098937492982e-119,4.4873746014684151e-24,7.576608990757618e-82,6.4015264337027936e-78,3.2054565602730742e-113,1.9368851416696274e-114,5.6801235559205651e-59,1.7245947298240886e-96,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810078147634e-22,3.2981810119961416e-22,2.0906723616696917e-31,1.688427551096597e-36,1.8726275912634639e-40,1.7109378353616147e-36,1.2888331508305253e-69,1.0379322504268059e-55
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.3195073619421835e-72,2.5934493054001587e-39,3.2335964720453211e-84,5.9469862091608152e-59,7.4604817703900255e-132,9.5356710281203883e-24,1.2048401204296589e-117,9.5356710281203766e-24,1.4045756147935541e-80,1.1987606630160511e-76,4.8419563605606391e-111,2.9257340272872615e-112,5.0233013362944827e-58,6.4202337641439866e-95,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346369185344e-22,7.0086346551797883e-22,9.1304398583137739e-31,1.493383497905138e-35,1.6563404950689933e-39,7.4709922682659653e-36,4.8510081326647654e-68,1.3380968839786992e-54
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1822002212420708e-71,1.7834271444954873e-38,2.2324541234051023e-82,5.0877718949649138e-58,2.0621893129729629e-129,1.9632263881424338e-23,8.5394800838011816e-116,1.9632263881424282e-23,2.4141066054479763e-79,2.0699583267965999e-75,6.6898698423638915e-109,4.0423288395061876e-110,4.2212042448799297e-57,2.211867871171024e-93,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541880218172e-21,1.4429541956455943e-21,3.8117157162781298e-30,1.2552593829164807e-34,1.3922920023273187e-38,3.1180542715893494e-35,1.6724655609367075e-66,1.8313872314120552e-53
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.5244926483474522e-69,1.3011924077127593e-37,1.4695985870703193e-80,4.2066681698677648e-57,5.4329736387624116e-127,3.9825449588032251e-23,5.7466785932276965e-114,3.9825449588032028e-23,4.0012046372277643e-78,3.4372656270137325e-74,8.8108776616966621e-107,5.3239398841045263e-108,3.458859504779306e-56,7.3403829921067293e-92,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356307185821e-21,2.9271356618647144e-21,1.557158604897877e-29,1.0291056193285885e-33,1.1415474394450003e-37,1.2730610645330743e-34,5.5008772809407079e-65,2.6602514185392124e-52
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.4822174515406411e-68,9.8884945296589141e-37,9.3663648924767358e-79,3.4207926594096956e-56,1.3855881873500113e-124,8.0211821001248148e-23,3.7706059846560868e-112,8.0211821001247243e-23,6.5149244449143499e-77,5.5970965405848031e-73,1.1233913937665872e-104,6.7880504943695877e-106,2.7979390154445044e-55,2.3917569055169962e-90,3.1810863639842088e-16,1.5294945927644146e-17,5.8954984922594635e-21,5.8954986181612851e-21,6.2938666101579001e-29,8.333448093562116e-33,9.2455567098706662e-37,5.1397352022190331e-34,1.7520806042213729e-63,4.0310202636508419e-51
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,3.9993343374679685e-67,7.6979568245894892e-36,5.7773332350078438e-77,2.7589931520970631e-55,3.4199644179682016e-122,1.6098456382768027e-22,2.44329651714931e-110,1.6098456382767663e-22,1.0515114119494714e-75,9.0183551289174965e-72,1.3862183679306995e-102,8.3761726589146063e-104,2.2469943422770799e-54,7.7228379694603651e-89,6.3844180871568824e-16,3.0696849519117916e-17,1.1832224119930633e-20,1.1832224626209874e-20,2.5304004409474232e-28,6.7066534797363985e-32,7.4432532961958073e-36,2.0617107193123769e-33,5.4006995061520545e-62,6.2650195923699251e-50
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.399011562086142e-66,6.0713691472866139e-35,3.4039003705809591e-75,2.2161732527876372e-54,8.064539276563148e-120,3.2253004948054565e-22,1.5734145010751756e-108,3.2253004948053112e-22,1.6897505458829958e-74,1.442976621470904e-70,1.6340941841940142e-100,9.8739530108410411e-102,1.7950506013831428e-53,2.4824371634101272e-87,1.2791081533501516e-15,6.1500656702065314e-17,2.3705674993630599e-20,2.3705677024305873e-20,1.0145346365385565e-27,5.3803346129638703e-31,5.9753488536449318e-35,8.2289105284187318e-33,1.5897675233572003e-60,9.87307641142836e-49
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,1.0168240814735329e-64,4.820369972719144e-34,1.869904165274077e-73,1.7765370291114918e-53,1.7737162142251095e-117,6.4562102078628124e-22,1.0101019730037249e-106,6.4562102078622275e-22,2.7094799679067206e-73,2.2929396715840614e-69,1.7964627060795357e-98,1.0855058733497958e-99,1.425537160687874e-52,7.9616485546925174e-86,2.5604408426187943e-15,1.2310827106795958e-16,4.7452575214461167e-20,4.7452583349907982e-20,4.0612762003580555e-27,4.3086813812956222e-30,4.7917247408215847e-34,3.2646571167462832e-32,4.3611596000063031e-59,1.5669962824357512e-47
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.5994837612637221e-63,3.8387381304101128e-33,9.308548582821214e-72,1.4226702336368969e-52,3.5368977822622672e-115,1.2918029633977718e-21,6.4746433131961623e-105,1.2918029633975375e-21,4.3398760960749022e-72,3.6067908799548509e-68,1.7902853944659529e-96,1.081773255895827e-97,1.1214943839190076e-51,2.5505866845384568e-84,5.1231062211549425e-15,2.4632349979974568e-16,9.494636954984566e-20,9.4946402130050129e-20,1.6238470091282494e-26,3.4461535077944788e-29,3.8429677144528992e-33,1.2823893270258321e-31,1.0834284509753648e-57,2.4952283563842631e-46
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.4714422595400699e-62,3.0594363581745979e-32,4.1261520049588982e-70,1.1387124429418134e-51,6.2828203235940967e-113,2.5841668486208293e-21,4.1469706800338811e-103,2.5841668486198915e-21,6.9475688268698982e-71,5.5728487682245345e-67,1.5891177050893221e-94,9.6021843172335817e-96,8.6739283323800852e-51,8.166452978611487e-83,1.0248436978222694e-14,4.9275395726330864e-16,1.8993393379551416e-19,1.8993406429613115e-19,6.4837645388296502e-26,2.7525253959655105e-28,3.0861945190232014e-32,4.9464004680141355e-31,2.3951713796275525e-56,3.9770914128235612e-45
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,3.6965684008200993e-61,2.4357344717151331e-31,1.6403257082110396e-68,9.1120008146819313e-51,1.0010395154699603e-110,5.1688946190672516e-21,2.6550841561419241e-101,5.168894619063499e-21,1.1119119543516336e-69,8.334822179290629e-66,1.2651442876647819e-92,7.644587055317392e-94,6.5024983498707829e-50,2.6139960915928971e-81,2.0499098492339999e-14,9.8561487219039711e-16,3.7990896458649966e-19,3.7990948776651873e-19,2.5830001398297881e-25,2.1937749794345707e-27,2.4863742095315302e-31,1.8450402298261426e-30,4.7482886279028031e-55,6.3330293873118303e-44
1.0166970314541763e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995701,0.11866996602992433,0.0228215676930533,0.0,5.225122498514062e-60,1.9325068345070133e-30,6.0205137143060414e-67,7.2905143667528905e-50,1.4719900036845251e-108,1.0338350159961325e-20,1.6995797226184784e-99,1.033835015994631e-20,1.7792982838450862e-68,1.1779826929492054e-64,9.2968218230574173e-91,5.6175698260643295e-92,4.6170253058903492e-49,8.3659499459292763e-80,4.1000421520501837e-14,1.9713367020444249e-15,7.5985863536746662e-19,7.5986073689664914e-19,1.0246435183247196e-24,1.7414807502787984e-26,2.0161027634405019e-30,6.4915674022332613e-30,8.6951677797016569e-54,1.0051445247298672e-42
2.0334492252452552e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991404,0.11866996602988332,0.022821567693052314,0.0,6.759389823484202e-59,1.5218791576834704e-29,2.114993533609784e-65,5.8327659521739715e-49,2.0703642037274718e-106,2.0677261241754383e-20,1.0878333316443653e-97,2.0677261241694322e-20,2.8470633737985551e-67,1.5235358316105164e-63,6.5359867919785194e-89,3.9493455807523596e-90,3.0111951795061288e-48,2.677285159015487e-78,8.2003067576534412e-14,3.9427803617518894e-15,1.5197564137285999e-18,1.5197648877036616e-18,4.0312085151658638e-24,1.3718101749924814e-25,1.6549050782040309e-29,2.0840756594793054e-29,1.5253809771895548e-52,1.5839011321049034e-41
4.066953612827413e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982811,0.11866996602980132,0.022821567693050344,0.0,7.7735057144386394e-58,1.1809766592622003e-28,7.3495182277217546e-64,4.6663368702347042e-48,2.8784867695810874e-104,4.1355083405360149e-20,6.9624354034199809e-96,4.1355083405119889e-20,4.5554335966439431e-66,1.7514817044483708e-62,4.5432064152305686e-87,2.7452154885491653e-88,1.7553322574429945e-47,8.5675714877117527e-77,1.6400835968743523e-13,7.8856676811644603e-15,3.0395457176733971e-18,3.039580130162437e-18,1.5609127592189018e-23,1.064657952433026e-24,1.3881553426456795e-28,5.9269022310061483e-29,2.6494694598522105e-51,2.4606031849172567e-40
8.133962387991729e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996562,0.11866996602963731,0.022821567693046402,0.0,7.8922876798540991e-57,8.912940238990736e-28,2.5960695279553693e-62,3.7330908535927808e-47,4.0656690300389215e-102,8.2710727732650293e-20,4.4560229084653952e-94,8.2710727731689254e-20,7.2887460678287628e-65,1.7773027917173363e-61,3.208850567933999e-85,1.9389359563171237e-86,9.1056120759880966e-47,2.7416445284252162e-75,3.2801894390457937e-13,1.5771442319980197e-14,6.0790993146588873e-18,6.0792407427251075e-18,5.865939505259115e-23,8.0354624478830283e-24,1.2048086831429508e-27,1.4845279323931882e-28,4.6816097062433566e-50,3.721063378350725e-39
1.6267979938320361e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319931241,0.11866996602930928,0.022821567693038516,0.0,7.2378951456959658e-56,6.4022396592907774e-27,9.4901775065783306e-61,2.9864359680685072e-46,5.9407038367130883e-100,1.6542201638754497e-19,2.8518337271098048e-92,1.6542201638370081e-19,1.1661864530859175e-63,1.6286371703529692e-60,2.3449235690754572e-83,1.4169112965640068e-84,4.3351806989770963e-46,8.7731705132941179e-74,6.5604011232023793e-13,3.1542991597574078e-14,1.2158106466660523e-17,1.2158697760663052e-17,2.0905307804611109e-22,5.7719096697724618e-23,1.0922632213438377e-26,3.3609870618143521e-28,8.5654420400296015e-49,5.3643539695776879e-38
